## 泌尿系统疾病

D. 弥漫性膜性肾小球肾炎
E. 弥漫性膜性增生性肾小球肾炎
【参考答案】 E

37. 符合弥漫性膜性增生性肾小球肾炎的描述是
A. 系膜区致密物沉积
B. 基底膜内致密物沉积
C. 基底膜和上皮细胞间驼峰状致密物沉积
D. 基底膜内和基底膜内、外侧致密物沉积
E. 无致密物沉积
【参考答案】 D

38. 致密物沉积病属于
A. 弥漫性新月体性肾小球肾炎
B. 慢性硬化性肾小球肾炎
C. 轻微病变性肾小球肾炎
D. 弥漫性膜性肾小球肾炎
E. 弥漫性膜性增生性肾小球肾炎
【参考答案】 E

39. 不符合膜性增生性肾小球肾炎的描述是
A. 多由高分子量循环免疫复合物引起
B. 多数患者预后良好
C. IgG 和 C3 沉积于系膜区和基底膜
D. 系膜细胞和基质增生
E. 可引起肾病综合征
【参考答案】 B

40. 符合致密物沉积病的描述是
A. C3 颗粒沉积于基底膜内
B. 患者预后良好
C. 毛细血管基底膜正常
D. IgG 颗粒沉积于基底膜内
E. 临床表现为急性肾炎综合征
【参考答案】 A

41. 弥漫性系膜增生性肾小球肾炎的主要病理特点是
A. 肾小球系膜细胞和内皮细胞增生
B. 肾小球基底膜弥漫增厚并有钉突形成
C. 肾小球系膜细胞及基质增生
D. 肾小球硬化
E. 肾小球无明显病变
【参考答案】 C

42. 不符合弥漫性系膜增生性肾小球肾炎的病变是
A. 系膜细胞和基质增生
B. 毛细血管无明显改变
C. 系膜区电子致密物沉积
D. 系膜区 IgM 、IgG 和 C3 沉积
E. 系膜细胞和内皮细胞弥漫性增生
【参考答案】 E

43. 符合弥漫性系膜增生性肾小球肾炎的临床表现是
A. 发病率高
B. 青少年多见
C. 可表现为急性肾炎综合征
D. 可表现为隐匿性肾炎综合征
E. 不表现为肾病综合征
【参考答案】 E

44. 符合弥漫性系膜增生性肾小球肾炎的电镜下变化是
A. 系膜区致密物沉积
B. 基底膜内致密物沉积
C. 基底膜和上皮细胞间驼峰状致密物沉积
D. 基底膜内和基底膜内、外侧致密物沉积
E. 无致密物沉积
【参考答案】 A

45. IgA 肾病属于
A. 毛细血管增生性肾小球肾炎
B. 抗基底膜性肾小球肾炎
C. 弥漫性膜增生性肾小球肾炎
D. 弥漫性系膜增生性肾小球肾炎
E. 轻微病变性肾小球肾炎
【参考答案】 D

46. 不符合 IgA 肾病的描述是
A. 约占弥漫性系膜增生性肾小球肾炎的 50%
B. 青少年多见
C. 可引起肉眼血尿
D. 预后差
E. 可引起肾病综合征
【参考答案】 D

47. 不符合弥漫性系膜增生性肾小球肾炎的描述是
A. 约占原发性肾小球肾炎的 50%
B. 可分为 IgA 肾病及非 IgA 肾病
C. 部分病例可发展为硬化性肾小球肾炎
D. 皮质激素和细胞毒药物治疗无效
E. 可引起肾病综合征
【参考答案】 D

48. 符合弥漫性系膜增生性肾小球肾炎的描述是
A. 肾小球系膜区免疫复合物沉积
B. 肾小球基底膜内免疫复合物沉积
C. 肾小球基底膜和上皮细胞间驼峰状免疫复合物沉积
D. 肾小球基底膜和内皮细胞间免疫复合物沉积
E. 肾小球内无免疫复合物沉积
【参考答案】 A

49. 轻微病变性肾小球肾炎的主要病理特点是
A. 肾小管上皮脂肪变性和坏死
B. 肾小球系膜细胞增生
C. 肾小球内皮细胞增生
D. 肾小球球囊壁层上皮细胞增生
E. 肾小球球囊脏层上皮细胞足突融合
【参考答案】 E

50. 轻微病变性肾小球肾炎的免疫病理变化是
A. 肾小球基底膜上皮下有免疫复合物沉积
B. 肾小球基底膜内有免疫复合物沉积
C. 肾小球基底膜内皮细胞下有免疫复合物沉积
D. 肾小球系膜区有免疫复合物沉积
E. 以上都不是
【参考答案】 E

51. 不符合轻微病变性肾小球肾炎的临床表现是
A. 高度水肿
B. 血尿
C. 低蛋白血症
D. 高胆固醇血症
E. 大量蛋白尿
【参考答案】 B

52. 符合轻微病变性肾小球肾炎的病因发病的描述是
A. 由循环免疫复合物引起
B. 属抗基底膜肾小球肾炎
C. 由植入性非肾性抗原引起
D. 通过补体旁路激活引起
E. 由 T 细胞介导引起
【参考答案】 E

53. 与免疫复合物无关的肾小球肾炎是
A. 弥漫性膜性肾小球肾炎
B. 弥漫性新月体性肾小球肾炎
C. 轻微病变性肾小球肾炎
D. 弥漫性毛细血管内增生性肾小球肾炎
E. 弥漫性膜性增生性肾小球肾炎
【参考答案】 C

54. 多发生于儿童的肾小球肾炎是
A. 弥漫性新月体性肾小球肾炎
B. 弥漫性膜性肾小球肾炎
C. 弥漫性膜性增生性肾小球肾炎
D. 弥漫性毛细血管内增生性肾小球肾炎
E. 脂性肾病
【参考答案】 E

55. 激素治疗效果较好的肾小球肾炎是
A. 弥漫性新月体性肾小球肾炎
B. 轻微病变性肾小球肾炎
C. 弥漫性膜性肾小球肾炎
D. 弥漫性膜性增生性肾小球肾炎
E. 弥漫性系膜增生性肾小球肾炎
【参考答案】 B

56. 轻微病变性肾小球肾炎常表现为
A. 肾病综合征
B. 急性肾炎综合征
C. 慢性肾炎综合征
D. 隐匿性肾炎综合征
E. 急进性肾炎综合征
【参考答案】 A

57. 不符合局灶性节段性肾小球肾炎的描述是
A. 可继发于感染性心内膜炎
B. 肾小球毛细血管袢节段性坏死
C. 可引起血尿
D. 有复发倾向
E. 多引起肾功能衰竭
【参考答案】 E

58. 局灶性节段性肾小球肾炎常表现为
A. 肾病综合征
B. 急性肾炎综合征
C. 慢性肾炎综合征
D. 隐匿性肾炎综合征
E. 急进性肾炎综合征
【参考答案】 D

59. 局灶性节段性肾小球肾炎的病变特点为
A. 肾小管上皮脂肪变性和坏死
B. 肾小球系膜细胞增生
C. 肾小球内节段性病变
D. 肾小球球囊壁层上皮细胞增生
E. 肾小球球囊脏层上皮细胞足突融合
【参考答案】 C

60. 符合局灶性节段性肾小球肾炎结局的描述是
A. 多数转变为慢性硬化性肾小球肾炎
B. 多数转变为新月体性肾小球肾炎
C. 多数可自行消退
D. 多数严重影响肾功能
E. 多数 10 年以内死亡
【参考答案】 C

61. 符合原发性局灶性节段性肾小球肾炎病因的描述是
A. 由循环免疫复合物引起
B. 属抗基底膜肾小球肾炎
C. 由植入性非肾性抗原引起
D. 病因不明
E. 由 T 细胞介导引起
【参考答案】 D

62. 不符合局灶性节段性肾小球肾炎病变特点的是
A. 部分肾小球受累
B. 肾小球节段性增生
C. 肾小球节段性硬化
D. IgM 和 C3 局灶性沉积
E. 基底膜增厚呈双轨状
【参考答案】 E

63. 继发性局灶性节段性肾小球肾炎常表现为
A. 可继发于系统性红斑狼疮
B. 可继发于过敏性紫癜
C. 可继发于细菌性心内膜炎
D. 可继发于结节性动脉炎
E. 不继发于艾滋病
【参考答案】 E

64. 不符合局灶性节段性肾小球肾炎的描述是
A. 不转变为慢性硬化性肾小球肾炎
B. 多数肾小球无病变
C. 多数可自行消退
D. 多数对肾功能影响较小
E. 多数呈隐匿性肾炎综合征
【参考答案】 A

65. 硬化性肾小球肾炎的主要病理特点是
A. 肾间质纤维化
B. 肾小管萎缩
C. 部分肾小球硬化、肾小管萎缩和肾间质纤维化
D. 大部分肾小球硬化、肾小管萎缩和肾间质纤维化
E. 入球小动脉玻璃样变性
【参考答案】 D

66. 不符合硬化性肾小球肾炎的是
A. 部分肾单位代偿肥大
B. 大部分肾单位硬化和萎缩
C. 颗粒性萎缩肾
D. 肾盂扩张
E. 肾间质纤维化
【参考答案】 D

67. 慢性硬化性肾小球肾炎特征性的尿变化是
A. 蛋白尿
B. 少尿无尿
C. 多尿夜尿
D. 管型尿
E. 血尿
【参考答案】 C

68. 很少发展为慢性硬化性肾小球肾炎的是
A. IgA 肾病
B. 膜性增生性肾小球肾炎
C. 膜性肾小球肾炎
D. 毛细血管内增生性肾小球肾炎
E. 新月体性肾小球肾炎
【参考答案】 D

69. 慢性硬化性肾小球肾炎的肾脏呈
A. 大红肾
B. 颗粒性固缩肾
C. 大白肾
D. 蚤咬肾
E. 大瘢痕性固缩肾
【参考答案】 B

70. 符合慢性硬化性肾小球肾炎的描述是
A. 是各型肾小球肾炎的终末期
B. 很少由毛细血管内增生性肾小球肾炎发展而来
C. 可由新月体性肾小球肾炎转化而来
D. 可由膜性增生性肾小球肾炎转化而来
E. 患者皆有肾小球肾炎病史
【参考答案】 E

71. 慢性硬化性肾小球肾炎引起肾功能衰竭的主要原因是
A. 肾小球代偿性肥大
B. 肾间质纤维化
C. 肾间质慢性炎细胞浸润
D. 大部分肾小球纤维化
E. 肾小动脉硬化
【参考答案】 D

72. 不符合慢性硬化性肾小球肾炎的描述是
A. 可引起贫血
B. 可引起高血压
C. 可引起严重的蛋白尿
D. 可引起水电解质紊乱
E. 可引起氮质血症
【参考答案】 C

73. 不引起尿毒症的疾病是
A. 慢性硬化性肾小球肾炎
B. 肾细胞癌
C. 肾结核
D. 高血压肾硬化
E. 肾盂肾炎
【参考答案】 B

74. 引起尿毒症的病理基础是
A. 肾小球代偿性肥大
B. 肾间质纤维化
C. 肾间质慢性炎细胞浸润
D. 大部分肾单位破坏
E. 肾小动脉硬化
【参考答案】 D

75. 引起尿毒症的主要代谢产物是
A. 肌酐
B. 酚类及其代谢产物
C. 肌酸
D. 尿素
E. 胍类及其代谢产物
【参考答案】 D

76. 尿毒症性肺炎的病变特点是
A. 肺泡腔内透明膜形成
B. 肺泡腔内大量中性白细胞
C. 肺泡腔内大量纤维素
D. 肺泡腔内大量巨噬细胞浸润
E. 肺泡上皮细胞弥漫性增生
【参考答案】 C

77. 尿毒症时，引起纤维素性胸膜炎的是
A. 肌酐
B. 酚类及其代谢产物
C. 肌酸
D. 尿素
E. 胍类及其代谢产物
【参考答案】 D

78. 不符合尿毒症患者贫血、出血的原因是
A. 尿素的毒性作用
B. 酚类及其衍生物抑制骨髓造血功能
C. 胍类及其衍生物引起血小板功能障碍
D. 促红细胞生成素减少
E. 胍类及其衍生物加速红细胞破坏
【参考答案】 A

79. 不符合尿毒症引起的肾性骨营养不良的描述是
A. 与低血钙有关
B. 引起甲状旁腺功能亢进
C. 引起骨质疏松
D. 1,25-二羟胆钙化醇及其类似药物治疗无效
E. 与肾排泄磷酸盐功能下降有关
【参考答案】 D

80. 不符合尿毒症引起的心血管疾病的描述是
A. 引起高血压
B. 引起心脏肥大
C. 引起心肌变性坏死
D. 引起特发性心肌病
E. 引起纤维素性心外膜炎
【参考答案】 D

81. 肾盂肾炎的基本病变是
A. 化脓性炎
B. 变态反应性炎
C. 增生性炎
D. 变质性炎
E. 纤维素性炎
【参考答案】 A

82. 肾盂肾炎主要累及
A. 肾小球
B. 肾小管
C. 肾间质
D. 肾盂
E. 肾小管、肾间质和肾盂
【参考答案】 E

83. 肾盂肾炎最常见的病原体是
A. 变形杆菌
B. 产气杆菌
C. 大肠杆菌
D. 葡萄球菌
E. 链球菌
【参考答案】 C

84. 不符合肾盂肾炎的病因发病的描述是
A. 多为上行性感染
B. 多为血源性感染
C. 多为大肠杆菌感染
D. 与尿路阻塞有关
E. 多发生于女性
【参考答案】 B

85. 上行性感染引起的急性肾盂肾炎最先累及
A. 肾小球
B. 肾小管
C. 集合管
D. 肾乳头
E. 肾盂粘膜
【参考答案】 E

86. 血源性感染引起的急性肾盂肾炎的病变特点是
A. 肾盂粘膜充血水肿
B. 肾小管内充满脓细胞
C. 肾脏散在的多发性小脓肿
D. 肾小球纤维化
E. 肾乳头坏死
【参考答案】 C

87. 急性肾盂肾炎的合并症不包括
A. 急性坏死性乳头炎
B. 肾盂积脓
C. 肾周围脓肿
D. 肾结石
E. 急性膀胱炎
【参考答案】 D

88. 急性肾盂肾炎一般不引起
A. 发热、寒战、白细胞增高
B. 腰痛
C. 脓尿、菌尿、蛋白尿
D. 尿频、尿急、尿痛
E. 尿毒症
【参考答案】 E

89. 慢性肾盂肾炎的基本病变属于
A. 纤维素性炎
B. 肉芽肿性炎
C. 卡他性炎
D. 慢性化脓性炎
E. 增生性炎
【参考答案】 D

90. 慢性肾盂肾炎的主要病因是
A. 变态反应
B. 血循环障碍
C. 细菌感染
D. 先天性发育异常
E. 代谢障碍
【参考答案】 C

91. 慢性肾盂肾炎的主要病变特点是
A. 肾小球硬化
B. 肾小球新月体形成
C. 肾小管坏死
D. 肾间质慢性化脓性炎
E. 肾间质纤维化
【参考答案】 D

92. 符合慢性肾盂肾炎临床症状的是
A. 肾病综合征
B. 急性肾炎综合征
C. 蛋白尿、脓尿、菌尿
D. 慢性肾炎综合征
E. 急进性肾炎综合征
【参考答案】 C

93. 慢性肾盂肾炎的肾脏呈
A. 凹陷性瘢痕伴脓肿形成
B. 颗粒性固缩肾
C. 大白肾
D. 蚤咬肾
E. 大瘢痕性固缩肾
【参考答案】 A

94. 支持慢性肾盂肾炎的尿的变化是
A. 血尿
B. 蛋白尿
C. 管形尿
D. 多尿
E. 细菌尿
【参考答案】 E

95. 不符合慢性肾盂肾炎的描述是
A. 常反复发作
B. 可引起肾功能衰竭
C. 可引起高血压
D. 可出现多尿和夜尿
E. 常引起慢性肾炎综合征
【参考答案】 E

96. 慢性肾盂肾炎不同于慢性硬化性肾小球肾炎的病变是
A. 肾小球代偿性肥大
B. 肾内小动脉硬化
C. 肾间质纤维化
D. 肾小球囊周围纤维化
E. 肾小管扩张
【参考答案】 D

97. 不符合膀胱乳头状瘤的描述是
A. 手术后易复发
B. 乳头被覆腺上皮
C. 乳头易折断、脱落
D. 易发生癌变
E. 乳头有蒂与粘膜相连
【参考答案】 B

98. 膀胱癌最常见的组织学类型是
A. 腺癌
B. 鳞癌
C. 移行细胞癌
D. 未分化癌
E. 腺鳞癌
【参考答案】 C

99. 女性，60 岁，送检组织为膀胱肿瘤标本，肉眼检查：肿瘤直径约 3 cm，呈乳头状，表面溃疡形成，切面灰白、质硬，侵及膀胱肌层。符合此肿瘤的诊断是
A. 腺癌
B. 鳞癌
C. 移行细胞癌
D. 未分化癌
E. 平滑肌瘤
【参考答案】 C

100. 膀胱癌的早期临床症状是
A. 无痛性血尿
B. 菌尿
C. 管形尿
D. 脓尿
E. 蛋白尿
【参考答案】 A

101. 移行细胞癌最常见的好发部位是
A. 膀胱三角区和侧壁
B. 输尿管
C. 肾盂
D. 膀胱前壁
E. 膀胱颈部
【参考答案】 A

102. 膀胱癌不引起
A. 肾盂积水
B. 尿频、尿急、尿痛
C. 血尿
D. 肾盂肾炎
E. 肾小球肾炎
【参考答案】 E

103. 预后较好的膀胱癌是
A. 移行细胞癌I级
B. 移行细胞癌II级
C. 移行细胞癌III级
D. 鳞状细胞癌
E. 未分化癌
【参考答案】 A

104. 预后最好的膀胱癌是
A. 原位癌
B. 粘膜下癌
C. 侵及膀胱浅肌层的癌
D. 侵及膀胱深肌层的癌
E. 累及膀胱周围器官的癌
【参考答案】 A

105. 肾脏最常见的肿瘤是
A. 肾盂乳头状瘤
B. 血管平滑肌脂肪瘤
C. 肾母细胞瘤
D. 肾细胞癌
E. 肾腺瘤
【参考答案】 D

106. 肾细胞癌来源于
A. 移行上皮
B. 鳞状上皮
C. 肾小管上皮
D. 肾球囊壁层上皮
E. 足突细胞
【参考答案】 C

107. 与肾细胞癌发生关系密切的基因是
A. APC 基因
B. Rb 基因
C. WT-1 基因
D. VHL 基因
E. NF-1 基因
【参考答案】 D

108. 肾细胞癌最常见的扩散途径是
A. 沿腹膜后静脉转移到肝
B. 种植转移到盆腔
C. 沿淋巴道转移到主动脉旁淋巴结
D. 沿肾静脉转移到肺
E. 沿精索静脉转移到生殖器官
【参考答案】 D

109. 不符合肾细胞癌的描述是
A. 早期发生血道转移
B. 发病隐匿
C. 不引起副肿瘤综合征
D. 多见于肾脏两极
E. 可引起肾盂积水
【参考答案】 C

110. 肾细胞癌最常见的组织学类型是
A. 透明细胞癌
B. 乳头状癌
C. 颗粒细胞癌
D. 未分化癌
E. 移行细胞癌
【参考答案】 A

111. 肾细胞癌危险因素不包括
A. 吸烟
B. 肥胖
C. 遗传
D. 糖尿病
E. 高血压
【参考答案】 D

112. 不符合肾细胞癌的描述是
A. 肿瘤间质丰富，血管少
B. 发病隐匿
C. 可引起副肿瘤综合征
D. 多见于肾脏上极
E. 肿瘤与邻近肾组织分界清楚
【参考答案】 A

113. 肾母细胞瘤是
A. Wilms tumor
B. Ewing tumor
C. Krukenberg tumor
D. Borderline tumor
E. Hodgkin diseases
【参考答案】 A

114. 肾母细胞瘤起源于
A. 肾小管
B. 移行上皮
C. 原始肾组织
D. 球囊壁层上皮
E. 肾间质
【参考答案】 C

115. 儿童肾脏常见的肿瘤是
A. 肾盂乳头状瘤
B. 血管平滑肌脂肪瘤
C. 肾母细胞瘤
D. 肾细胞癌
E. 肾腺瘤
【参考答案】 C

116. 肾母细胞瘤最常见的临床症状是
A. 腹部肿块
B. 血尿
C. 高血压
D. 水肿
E. 蛋白尿
【参考答案】 A

117. 肾母细胞瘤的肉眼特点是
A. 鱼肉状，边界清楚
B. 淡黄色，质软，边界清楚
C. 灰白，质硬，边界不清
D. 鱼肉状，边界不清
E. 淡黄色，质软，边界不清
【参考答案】 A

118. 不符合肾母细胞瘤的组织学改变
A. 原始肾小管结构
B. 原始肾小球结构
C. 横纹肌细胞
D. 软骨细胞
E. 角化珠
【参考答案】 E

119. 不符合肾母细胞瘤的描述是
A. 儿童患者多见
B. 起源于肾小管上皮细胞
C. 肿瘤呈鱼肉状
D. 肿瘤细胞有多方向分化潜能
E. 可经血道和淋巴道转移
【参考答案】 B

120. 符合肾母细胞瘤的描述是
A. 成人患者多见
B. 肿瘤呈灰白、质硬的结节
C. 引起肾病综合征
D. 肿瘤由癌细胞团和硬化的纤维间质构成
E. 最常见的临床症状是腹部肿块
【参考答案】 E

121. 尿结石不会引起
A. 肾盂肾炎
B. 输尿管粘膜溃疡
C. 血尿
D. 粘膜慢性炎
E. 肾细胞癌
【参考答案】 E

122. 最常见的尿结石类型是
A. 草酸盐结石
B. 磷酸钙结石
C. 磷酸铵酶结石
D. 尿酸盐结石
E. 胱氨酸结石
【参考答案】 A

123. 尿结石中主要的成分是
A. 无机盐结晶
B. 粘蛋白
C. 胆固醇
D. 胆色素
E. 虫卵
【参考答案】 A

124. 尿结石对机体的主要影响是
A. 癌变
B. 纤维化
C. 血尿
D. 慢性炎
E. 阻塞和损伤
【参考答案】 E

125. 不符合尿结石形成的原因是
A. 尿内盐类浓度增高
B. 蛋白尿
C. 尿潴留
D. 尿内异物
E. 尿液 pH 的改变
【参考答案】 B

126. 引起尿结石的最常见的因素是
A. 高尿酸尿
B. 高钙尿
C. 高草酸尿
D. 高胱氨酸尿
E. 高嘌呤尿
【参考答案】 B

127. 最常见的引起高尿钙的原因是
A. 长期卧床引起骨钙吸收过多
B. 肾近曲管钙重吸收减少
C. 甲状旁腺功能亢进
