## 淋巴造血系统疾病

1. 霍奇金淋巴瘤最常发生的部位是
A. 原发于皮肤
B. T 细胞来源
C. 形成红斑丘疹
D. 肿瘤细胞核高度扭曲
E. 不累及内脏
【参考答案】 E

35. 儿童多见的非霍奇金淋巴瘤是
A. 小细胞性淋巴瘤
B. 弥漫性大性 B 细胞淋巴瘤
C. 滤泡型淋巴瘤
D. Burkitt 淋巴瘤
E. T 免疫母细胞性淋巴瘤
【参考答案】 D

36. T 细胞淋巴瘤多见于
A. 颌骨
B. 颈部淋巴结
C. 胃肠道
D. 皮肤、鼻咽部
E. 腹膜后淋巴结
【参考答案】 D

37. NK/T 细胞淋巴瘤的特点是
A. 与 EB 病毒感染无关
B. 多累及颈部淋巴结
C. 多形性明显、核不规则的肿瘤细胞侵犯血管壁，使血管呈洋葱皮状
D. 放射治疗效果差
E. 坏死不明显
【参考答案】 C

38. 不符合白血病的描述是
A. 造血干细胞的恶性肿瘤
B. 患者易发生贫血
C. 急性白血病增生的细胞是较成熟的白细胞
D. 患者易发生出血
E. 患者易发生感染
【参考答案】 C

39. 白血病是
A. 造血干细胞的恶性肿瘤
B. B 细胞的恶性肿瘤
C. T 细胞的恶性肿瘤
D. 组织细胞的恶性肿瘤
E. NK 细胞的恶性肿瘤
【参考答案】 A

40. 白血病在儿童恶性肿瘤中占据
A. 第一位
B. 第二位
C. 第三位
D. 第四位
E. 第五位
【参考答案】 A

41. 不符合白血病的描述是
A. 肝肿大
B. 脾肿大
C. 淋巴结肿大
D. 外周血白细胞均增多
E. 贫血
【参考答案】 D

42. 与白血病的发生无关的因素是
A. 人类 T 细胞病毒
B. 电离辐射
C. 氯霉素、保泰松
D. 苯
E. 3,4-苯并芘
【参考答案】 E

43. 与白血病的发生无关的疾病是
A. Down 综合征
B. Fanconi 综合征
C. Bloom 综合征
D. Bruton 综合征
E. 慢性肉芽肿病
【参考答案】 E

44. 与白血病发生无关的是
A. 放射治疗
B. 烷化剂类药物治疗
C. 细胞毒药物治疗
D. 介入化疗
E. 冷冻治疗
【参考答案】 E

45. 不符合白血病的描述是
A. 慢性白血病急性变以淋巴细胞性白血病多见
B. 髓性白血病比淋巴细胞性白血病多见
C. 急性白血病比慢性白血病多见
D. 白细胞增多性白血病多见
E. 急性白血病儿童和青少年患者多见
【参考答案】 A

46. 急性白血病的特征病变是
A. 外周血白细胞数目增高或减少
B. 淋巴结肿大
C. 脾肿大
D. 骨髓内原始和幼稚细胞大量堆积
E. 肝肿大
【参考答案】 D

47. 不符合急性白血病的描述是
A. 起病急
B. 可转变为慢性白血病
C. 骨髓中原始细胞超过 30%
D. 可由慢性白血病急变而来
E. 外周血中白细胞可低于正常
【参考答案】 B

48. 急性粒细胞性白血病时白血病细胞在肝内的浸润部位是
A. 肝被膜下
B. 集中在小叶中央
C. 集中在汇管区
D. 散在于肝小叶内
E. 围绕在小叶下静脉周围
【参考答案】 D

49. 急性粒细胞性白血病时，瘤细胞在骨髓外浸润，聚集成肿块，称为
A. 棕色瘤
B. 黄色瘤
C. 绿色瘤
D. 黑色素瘤
E. 淋巴瘤
【参考答案】 C

50. 不符合急性白血病的骨髓组织的描述的是
A. 主要为原始细胞
B. 巨核细胞增多
C. 红细胞系生成受抑制
D. 成熟的白细胞数量减少
E. 骨髓增生活跃
【参考答案】 B

51. 不符合急性白血病的淋巴结变化的是
A. 急性淋巴细胞性白血病淋巴结肿大明显
B. 急性粒细胞性白血病淋巴结肿大较轻
C. 淋巴结结构破坏
D. 淋巴结内可见大量原始和幼稚细胞
E. 被膜及周围脂肪无肿瘤细胞浸润
【参考答案】 E

52. 不符合急性淋巴细胞性白血病的描述是
A. 多见于儿童
B. T 细胞性多见
C. 根据 FAB 分类分为 L_1、 L_2、 L_3 三种类型
D. L_1 型分化最差
E. 无标记型少见
【参考答案】 B

53. 不符合急性粒细胞性白血病的描述是
A. 又称为急性髓性白血病
B. 也称为急性非淋巴细胞性白血病
C. 根据 FAB 分类分为 M_1 ~M_7 七种类型
D. M_1 ~M_3 型均为粒细胞分化的白血病
E. M_7 为单核细胞分化的白血病
【参考答案】 E

54. 急性白血病的骨髓组织的描述中，哪一项是不正确的？
A. 主要为原始细胞
B. 巨核细胞增多
C. 红细胞系生成受抑制
D. 成熟的白细胞数量不多
E. 骨髓增生活跃
【参考答案】 A

55. 淋巴细胞性白血病时白血病细胞在肝内的浸润部位是
A. 肝被膜下
B. 集中在小叶中央
C. 集中在汇管区
D. 散在于肝小叶内
E. 围绕在小叶下静脉周围
【参考答案】 C

56. 脾脏在哪种白血病时肿大得最显著？
A. 急性粒细胞性白血病
B. 慢性粒细胞性白血病
C. 急性淋巴细胞性白血病
D. 慢性淋巴细胞性白血病
E. 毛细胞性白血病
【参考答案】 B

57. 下列哪一项符合白血病?
A. 慢性白血病多见
B. 急性白血病可转变为慢性白血病
C. 急性白血病骨髓中原始细胞超过 30%
D. 慢性淋巴细胞性白血病容易发生急变
E. 急性白血病外周血中白细胞通常低于正常
【参考答案】 C

58. 不符合慢性白血病的描述是
A. 起病缓慢
B. 病程长
C. 脾肿大
D. 骨髓内原始造血细胞增生
E. 淋巴结肿大
【参考答案】 D

59. 与慢性淋巴细胞白血病重叠的淋巴瘤是
A. 滤泡性型淋巴瘤
B. 弥漫型小细胞性淋巴瘤
C. 弥漫性大细胞性 B 细胞淋巴瘤
D. 蕈样霉菌病
E. Burkitt 淋巴瘤
【参考答案】 B

60. 不符合慢性淋巴细胞性白血病的淋巴结的病理变化的是
A. 瘤细胞浸润包膜
B. 淋巴结结构破坏
C. 淋巴结内原始淋巴细胞大量增生
D. 淋巴结切面呈鱼肉状
E. 肿大淋巴结常互相融合
【参考答案】 C

61. Ph1 染色体出现在
A. 急性淋巴细胞性白血病
B. 慢性淋巴细胞性白血病
C. 急性粒细胞性白血病
D. 慢性粒细胞性白血病
E. 毛细胞性白血病
【参考答案】 D

62. 绝大多数慢性淋巴细胞性白血病来源于
A. B 细胞
B. NK 细胞
C. T4 细胞
D. T8 细胞
E. 无标记细胞
【参考答案】 A

63. 慢性淋巴细胞性白血病外周血增生的细胞是
A. 成熟的小淋巴细胞
B. 中、晚幼粒细胞
C. 原始和幼稚粒细胞
D. 原始和幼稚淋巴细胞
E. 未分化的原巨核细胞
【参考答案】 A

64. 慢性粒细胞性白血病外周血增生的细胞是
A. 成熟的小淋巴细胞
B. 中、晚幼粒细胞
C. 原始和幼稚粒细胞
D. 原始和幼稚淋巴细胞
E. 未分化的原巨核细胞
【参考答案】 B

65. 急性淋巴细胞性白血病外周血增生的细胞是
A. 成熟的小淋巴细胞
B. 中、晚幼粒细胞
C. 原始和幼稚粒细胞
D. 原始和幼稚淋巴细胞
E. 未分化的原巨核细胞
【参考答案】 D

66. 哪项不符合慢性淋巴细胞性白血病的淋巴结的病理变化？
A. 瘤细胞为原始幼稚淋巴细胞
B. 淋巴结结构破坏
C. 淋巴结肿大
D. 淋巴结切面呈鱼肉状
E. 淋巴结常互相融合
【参考答案】 B

67. 慢性粒细胞性白血病与类白血病反应的区别是
A. 发热
B. 中性粒细胞碱性磷酸酶缺如或活性降低
C. 外周血白细胞数目增高
D. 出现幼稚粒细胞
E. 贫血
【参考答案】 B

68. 不符合类白血病反应的描述是
A. 病因消除后血象可恢复正常
B. 常无明显贫血
C. 粒细胞出现毒性颗粒和空泡
D. 中性粒细胞碱性磷酸酶活性增高
E. 出现 Ph1 染色体
【参考答案】 E

69. 慢性粒细胞性白血病的瘤细胞浸润于肝脏的
A. 肝小叶
B. 中央静脉周围
C. 包膜下
D. 汇管区
E. 以上都不是
【参考答案】 A

70. 慢性淋巴细胞性白血病的瘤细胞浸润于肝脏的
A. 肝小叶
B. 中央静脉周围
C. 包膜下
D. 汇管区及其周围
E. 以上都不是
【参考答案】 D

71. 慢性淋巴细胞性白血病主要累及脾的
A. 脾小动脉
B. 脾门
C. 脾包膜
D. 白髓
E. 髓索
【参考答案】 D

72. 不符合慢性白血病的描述是
A. 发展缓慢，病程长
B. 开始化疗效果好
C. 慢性粒细胞白血病晚期易发生急性变
D. 慢性淋巴细胞性白血病较少发生急性变
E. 慢性粒细胞白血病发病时症状明显
【参考答案】 E

73. 不符合慢性粒细胞性白血病急性变的描述是
A. 外周血中、晚幼粒细胞增多
B. 突然高热
C. 贫血加重
D. 出血加剧
E. 骨关节疼痛
【参考答案】 A

74. 慢性淋巴细胞性白血病多见于
A. 婴幼儿
B. 儿童
C. 青年
D. 中年
E. 老年
【参考答案】 E

75. 毛细胞性白血病的特点是
A. 具有 NK 细胞标记
B. 胞浆含溶菌酶阳性
C. 具有 T 细胞标记
D. 有树突状细胞特点
E. 胞浆形成细长突起
【参考答案】 E

76. 毛细胞性白血病最常见的症状是
A. 贫血
B. 外周血白细胞增多
C. 发热
D. 脾肿大
E. 淋巴结肿大
【参考答案】 D

77. 不符合毛细胞性白血病的描述是
A. 多见于男性老年患者
B. 起病缓慢
C. 贫血
D. 脾肿大
E. 常表现为外周血白细胞显著增高
【参考答案】 E

78. 白血病患者贫血主要是由于
A. 红细胞生成减少
B. 缺铁
C. 药物中毒
D. 溶血
E. 出血
【参考答案】 A

79. 白血病患者出血主要是由于
A. 血小板功能障碍
B. 血小板生成减少
C. 凝血因子异常
D. 抗凝血因子异常
E. 药物中毒
【参考答案】 B

80. 白血病患者发热的主要原因是
A. 感染
B. 不明原因
C. 创伤
D. 坏死
E. 变态反应
【参考答案】 A

81. 急性白血病最常见的死亡原因是
A. 感染
B. 出血、特别是颅内出血
C. 贫血
D. 免疫功能低下
E. 疼痛
【参考答案】 B

82. 关于恶性组织细胞增生症，下列哪一项是错误的？
A. 主要侵犯淋巴结、肝、脾、骨髓
B. 一般至少有两个以上不同器官和组织同时受累
C. 脾内瘤细胞主要浸润于白髓
D. 淋巴结内瘤细胞浸润于淋巴窦
E. 肿瘤细胞有吞噬红细胞现象
【参考答案】 C

83. 组织细胞增生症 X 时增生的细胞是
A. 淋巴细胞
B. 单核细胞
C. Langerhans 细胞
D. 巨噬细胞
E. 浆细胞
【参考答案】 C

84. 不符合 Letterer-Siwe 病的描述是
A. 多见于 3 岁以下儿童
B. 发病急、进展快
C. 肝、脾、淋巴结肿大
D. 增生的 Langerhans 细胞分化差、异型性显著
E. 骨组织内形成局限性病灶
【参考答案】 D

85. 不符合 Hand-Schüller-Christian 病的描述是
A. 多见于幼儿
B. 病变广泛
C. 骨组织病变突出
D. 多累及颅骨和颌骨
E. 增生的 Langerhans 细胞分化差、异型性显著
【参考答案】 E

86. 不符合嗜酸性肉芽肿的描述是
A. 多见于青少年
B. 病变局限于骨
C. 病灶多发
D. 一般不累及内脏
E. 病变内大量 Langerhans 细胞增生，伴嗜酸粒细胞浸润
【参考答案】 C

87. 多发性骨髓瘤是
A. 淋巴细胞的恶性肿瘤
B. 单核细胞的恶性肿瘤
C. Langerhans 细胞的恶性肿瘤
D. 粒细胞的恶性肿瘤
E. 浆细胞的恶性肿瘤
【参考答案】 E

88. 不符合多发性骨髓瘤的描述是
A. 多发性溶骨性破坏
B. 浆细胞的多克隆增生
C. 肿瘤细胞产生 M 蛋白
D. 患者血液中 M 蛋白增高
E. 多数患者尿中 Bence-Jones 蛋白阳性
【参考答案】 B

89. 不符合多发性骨髓瘤的描述是
A. 多发性溶骨性破坏
B. 浆细胞呈单克隆增生
C. 肿瘤细胞产生 M 蛋白
D. 患者血液中 M 蛋白增高
E. 患者尿中 Bence-Jones 蛋白为重链
【参考答案】 E

90. 不符合多发性骨髓瘤的描述是
A. 多发性溶骨性破坏
B. 病变内大量成熟的浆细胞增生
C. 半数患者引起骨髓瘤肾病
D. 可引起贫血、白细胞减少和出血倾向
E. 感染和肾功能衰竭是主要死亡原因
【参考答案】 B

91. Which of the following diseases is derived from Langerhans cells?
A. Letterer-Siwe disease
B. Eosinophilic granuloma of bone
C. Kikuchi disease
D. A+B
E. A+C
【参考答案】 D

92. Which of the following lymphomas is a mature T-cell lymphoma?
A. T lymphoblastic leukemia/lymphoma
B. Mycosis fungoides
C. Mantle cell lymphoma
D. Follicular lymphoma
E. Burkitt lymphoma
【参考答案】 B

93. Which of the following in correct regarding peripheral T-cell lymphoma, NOS?
A. Association with EBV infection
B. Indolent clinical course
C. It is an immature T-cell lymphoma
D. TCR genes are clonally rearranged in most cases
E. CD56 expression can be found in most cases
【参考答案】 D

94. The microscopic appearance of a 21-year-old female with a neoplasm of the nasal cavity shows an angiodestructive growth pattern with polymorphic tumor cells. The tumor cells express CD3, CD56, Granzyme B and TIA-1 and EBER1/2 is positive. Which of the following is incorrect regarding this disease?
A. This lymphoma is more prevalent in Asians
B. Association with EBV infection
C. Usually shows an indolent clinical course
D. This is a mature T-cell lymphoma
E. This disease may disseminate to various sites
【参考答案】 C

95. The histological findings shown here at high power microscopically were present in the nasal cavity. The patient is a 48-year-old male with low grade fever, night sweats, fatigue and weight loss. He has a medical history of chronic nasopharyngitis. Which of the following immunophenotypes is most likely?
![题目配图](https://course.huh.moe/data/bl/images/10-chap10-1.jpg)
A. CD3-, CD20+, CD2+
B. CD3+, CD56+, Granzyme B+, TIA-1+
C. CD3+, CD30+, CD20-
D. CD30+, CD15+, LMP-1-
E. CD3+, CD20+, CD68+
【参考答案】 B

96. Which of the following diseases is a T-cell lymphoma?
![题目配图](https://course.huh.moe/data/bl/images/10-chap10-1.jpg)
A. Letterer-Siwe disease
B. Hand-Schuller-Christian disease
C. Histiocytic sarcoma
D. Mycosis fungoides
E. Eosinophilic granuloma
【参考答案】 D

97. The microscopic appearance of a neoplasm the jaw bones of an 8-year-old boy shows a "starry sky" pattern. The tumor cells express CD19, CD20 and CD10. Genetic examination shows t(8;14)(q24;q32). Which of the following is the most likely diagnosis?
A. Burkitt lymphoma
B. Diffuse large B-cell lymphoma
C. Eosinophilic granuloma
D. Mycosis fungoides
E. Follicular lymphoma
【参考答案】 A

98. A 30-year-old female has cervical lymphadenopathy and a low fever for three months. Biopsy of a cervical lymph node shows granuloma formation, composed of hyperplastic histocytes surrounding coagulative necrosis. Ziehl-Neelson staining shows red bacilli. Which of the following is the most likely diagnosis?
A. Histiocytic necrotizing lymphadenitis
B. Castleman disease
C. Cat scratch lymphadenitis
D. Mycosis fungoides
E. Lymphatic tuberculosis
【参考答案】 E

99. Which of the following is incorrect regarding Kikuchi disease?
A. Also known as histiocytic necrotizing lymphadenitis
B. Has a self-limited clinical course
C. C. Shows response to antibiotics
D. Necrosis occurs
E. Shows histocyte hyperplasia
【参考答案】 C

100. Which of the following lymphomas is a primary cutaneous lymphoma characterized by pautrier microabscesses?
A. Extranodal NK/T-cell lymphoma
B. Mycosis fungoides
C. Subcutaneous panniculitis-like T-cell lymphoma
D. Primary cutaneous CD30 positive T-cell lymphoma
E. Primary cutaneous follicle centre lymphoma
【参考答案】 B

101. Which of the following is incorrect regarding mycosis fungoides?
A. Is a primary cutaneous B-cell lymphoma
B. Usually shows an indolent clinical course
C. Can be classified into four clinical stages
D. Extracutaneous dissemination may occur in advanced stages
E. Pautrier microabscesses are a typical finding
【参考答案】 A

102. Which of the following is correct regarding cat scratch lymphadenitis?
A. Associated with G- bacillus infection
B. Associated with a pet, especially a cat
C. Cutaneous changes may occur
D. Granulomas with microabscesses are a typical morphological finding
E. All of above
【参考答案】 E

103. A 10-year-old boy has enlarged right cervical lymph nodes and mediastinal lymph nodes. Granulomas with microabscesses were observed on H&E slides of a right cervical lymph node biopsy. Which of the following is the most likely diagnosis?
A. Lymph node hyperplasia
B. Kikuchi disease
C. Tuberculosis of lymph node
D. Cat scratch lymphadenitis
E. Hodgkin lymphoma
【参考答案】 D

104. This is the microscopic appearance of a neoplasm in the colon found on examination of a 40-year-old man who had abdominal distension for several months. This appearance is most suggestive of which diagnosis?
![题目配图](https://course.huh.moe/data/bl/images/10-chap10-2.jpg)
A. MALT lymphoma
B. Diffuse large B-cell lymphoma
C. Follicular lymphoma
D. Classical Hodgkin lymphoma
E. Mantle cell lymphoma
【参考答案】 B

105. Which of the following regarding follicular lymphoma in incorrect?
![题目配图](https://course.huh.moe/data/bl/images/10-chap10-2.jpg)
A. Originates from marginal zone cells
B. Usually has a nodal pattern
C. It is an indolent neoplasm
D. Can transform into a diffuse large B-cell lymphoma
E. May occur primarily in the skin, GI tract, breast and testis
【参考答案】 A

106. A 23-year-old male has left supraclavicular lymphadenopathy. The histological findings show scattered Hodgkin and Reed-Sternberg cells in a diffuse cellular background consisting of small lymphocytes and there are no neutrophils or eosinophils. The phenotype is CD30+, CD15+, CD45-, EMA-, CD20-. Which of the following is the most likely diagnosis?
A. Lymphocyte-rich classical Hodgkin lymphoma
B. Mixed cellularity classical Hodgkin lymphoma
C. Lymphocyte-depleted classical Hodgkin lymphoma
D. Nodular sclerosing classical Hodgkin lymphoma
E. Nodular lymphocyte predominant Hodgkin lymphoma
【参考答案】 A

107. Diffuse large B-cell lymphoma will not occur in which of the following sites?
A. Cervical lymph nodes
B. Colon
C. C. Spleen
D. Bone marrow
E. None of above
【参考答案】 E

108. A 35-year-old man who is a decorator, has had systematic lymphadenopathy for 6 months. He had a right cervical lymph node biopsy after there was no response to treatment with antibiotics. The histological findings are shown here. The cells express CD10, CD20 and BCL6. The most likely diagnosis is:
![题目配图](https://course.huh.moe/data/bl/images/10-chap10-3.jpg)
A. Follicular lymphoma
B. Burkitt lymphoma
C. Classical Hodgkin lymphoma
D. Diffuse Large B-cell lymphoma
E. Mantle cell lymphoma
【参考答案】 D

109. Which of the following cells proliferates in eosinophilic granuloma?
![题目配图](https://course.huh.moe/data/bl/images/10-chap10-3.jpg)
A. lymphocytes
B. Macrophages
C. Pasmacytes
D. Langerhans cells
E. Monocytes
【参考答案】 D

110. Which of the following factors causes anemia in patients with leukemia?
A. Drug poisoning
B. Decreased production of red blood cells
C. Hemolysis
D. Bleeding
E. Iron deficiency
【参考答案】 B

111. Chronic lymphocytic leukemia mostly occurs in:
A. Infants
B. Kids
C. Youth
D. Midlife
E. The elderly
【参考答案】 E

112. Acute lymphoblastic leukemia usually involves which of the following areas in liver?
A. Subcapsular areas
B. The center of hepatic lobules
C. Portal areas
D. Interspersed among hepatic lobules
E. Around sublobular veins
【参考答案】 D

113. Acute myeloid leukemia usually involves which of the following in the liver?
A. Subcapsular areas
B. The center of hepatic lobules
C. Portal areas
D. Interspersed among hepatic lobules
E. Around sublobular veins
【参考答案】 D

114. Which of the following changes can be found in most cases of acute leukemia?
A. WBCs increased in peripheral blood count
B. Immature and primary cell hyperplasia in bone marrow
C. Lymphadenopathy
D. Hepatomegaly
E. Splenomegaly
【参考答案】 B

115. Which of the following factors is not associated with leukemia?
A. Radiation exposure
B. 3,4-Benzypyrene
C. Human T-cell leukemia virus (HTLV)
D. Chloramphenicol, phenylbutazone
E. Benzene
【参考答案】 B

116. Which of the following phenotypes is found in T cells and T-cell lymphomas?
A. CD16+, CD56+
B. CD10+, CD19+, CD20+
C. CD34+
D. CD13+, CD14+, CD15+
E. CD2+, CD3+, CD4+, CD7+, CD8+
【参考答案】 E

117. Which of the following phenotypes is found in B cells and B-cell lymphomas?
A. CD16+, CD56+
B. CD13+, CD14+, CD15+
C. CD10+, CD19+, CD20+
D. CD2+, CD3+, CD4+, CD7+, CD8+
E. CD34+
【参考答案】 C

118. Which of the following lymphomas is the most common non-Hodgkin lymphoma?
A. Mature T-cell lymphoma
B. B. Mature B-cell lymphoma
C. Mature NK-cell lymphoma
D. Histiocytic sarcoma
E. Langerhans cell sarcoma
【参考答案】 B

119. Which of the following cells is characteristic for diagnosis of mixed cellularity classical Hodgkin lymphoma?
A. Polymorphical cells
B. Reed-Sternberg cells
C. Hodgkin cells
D. Lacunar cells
E. Popcorn cells
【参考答案】 B

120. Hodgkin lymphoma, stage III by definition must involve which of the following areas?
A. A single lymph node region
B. Two or more lymph node regions on the same side of the diaphragm
C. Lymph node regions or structures on both sides of the diaphragm
D. A single lymphoid structure
E. Bone marrow
【参考答案】 C

