## 肿瘤

1. 不符合肿瘤性增生的是

46. 腺鳞癌是指
A. 伴有鳞状上皮化生的腺癌
B. 既有上皮成分，又有间质成分的肿瘤
C. 介于良性与恶性之间的肿瘤
D. 同时具有癌和肉瘤结构的肿瘤
E. 肿瘤中既有鳞状细胞癌成分，又有腺癌成分
【参考答案】 E

47. 属于恶性肿瘤的是
A. 纤维瘤
B. 神经母细胞瘤
C. 骨瘤
D. 乳头状瘤
E. 腺瘤
【参考答案】 B

48. 发生于儿童的恶性肿瘤是
A. 肾母细胞瘤
B. 黑色素瘤
C. 骨髓瘤
D. 鳞状细胞癌
E. 腺癌
【参考答案】 A

49. 男性，70 岁，1 年来常有便血，肠镜检查，发现距肛门 8 cm 的肠粘膜有一 2 cm 大小的肿物，中心有溃疡。活检诊断为粘液腺癌，组织学改变是
A. 癌细胞形成腺腔
B. 癌细胞大小较一致
C. 癌细胞分泌大量粘液
D. 癌细胞周围间质丰富
E. 癌细胞周围血管丰富
【参考答案】 C

50. 鳞状细胞癌的主要诊断依据是
A. 发生于鳞状上皮的覆盖部位
B. 呈浸润性生长
C. 癌细胞形成角化珠和细胞间桥
D. 肿瘤呈灰白色、质硬
E. 经淋巴道转移
【参考答案】 C

51. 胃幽门部一般不会出现
A. 腺癌
B. 鳞状细胞癌
C. 硬癌
D. 胶样癌
E. 髓样癌
【参考答案】 B

52. 不符合乳头状瘤特征是
A. 可发生于移行上皮
B. 可发生于皮肤表面
C. 可发生于胃肠道粘膜
D. 呈外生性生长
E. 极少发生恶变
【参考答案】 E

53. 有关移行细胞癌的描述，错误的是
A. III级预后最好
B. 好发于膀胱和肾盂等处
C. 组织学上可有不同程度的移行上皮的特点
D. 呈浸润性生长
E. 可由乳头状瘤恶变而来
【参考答案】 A

54. 诊断腺癌的组织学依据是
A. 肿瘤细胞多形性明显
B. 出现病理核分裂
C. 侵犯血管
D. 细胞异型性明显，呈腺样排列
E. 核深染
【参考答案】 D

55. 不符合腺瘤特征的是
A. 具有分泌功能
B. 形成导管和小叶结构
C. 细胞异型性不明显
D. 膨胀性生长
E. 形成腺样结构
【参考答案】 B

56. 不符合髓样癌特征的是
A. 来源于腺上皮
B. 癌巢呈实体性，无腺腔形成
C. 癌细胞多
D. 可见淋巴细胞浸润
E. 纤维间质丰富
【参考答案】 E

57. 不符合乳腺纤维腺瘤特征的是
A. 是一种良性肿瘤
B. 好发于青年女性
C. 切面灰白、质韧，呈编织状
D. 包膜完整
E. 由分化良好的纤维组织构成
【参考答案】 E

58. 男性，60 岁，1 年来进行性吞咽困难，日渐加重。胃镜检查，食管下段可见一溃疡型肿物，质地较硬，溃疡周边隆起，底部凹凸不平。活检的病理诊断最可能是
A. 食管小细胞癌
B. 食管腺癌
C. 食管鳞状细胞癌
D. Barrett 食管
E. 食管平滑肌瘤
【参考答案】 C

59. 女性，58 岁，停经 6 年后，阴道不规则出血 2 个月。妇科检查，子宫体积增大，如孕两个月大。刮宫取子宫内膜送病理，诊断为中分化子宫内膜腺癌。不符合其组织学改变的是
A. 腺体密集、背靠背
B. 出现鳞状上皮
C. 腺上皮细胞核深染
D. 腺上皮细胞排列紊乱
E. 可见病理核分裂
【参考答案】 B

60. 女性，40 岁，偶然发现右乳有一肿块，黄豆大，质硬，手术切除，其组织学改变符合导管内癌的是
A. 导管上皮乳头状增生
B. 导管上皮与纤维组织混合增生
C. 导管扩张
D. 导管内细胞异型性明显
E. 导管上皮及小叶上皮增生
【参考答案】 D

61. 男性，60 岁，无痛性血尿半年余。膀胱镜检查，膀胱三角区可见一乳头状肿物，有蒂。活检报告为乳头状瘤。符合此诊断的病变是
A. 可见鳞状细胞团
B. 可见腺体
C. 乳头被覆分化好的移行细胞
D. 乳头被覆分化好的腺上皮
E. 乳头被覆分化好的鳞状上皮
【参考答案】 C

62. 不符合皮肤基底细胞癌的描述是
A. 好发于面部
B. 多见于老年人
C. 可形成溃疡
D. 与紫外线照射有关
E. 易发生转移
【参考答案】 E

63. 不符合硬癌特征的是
A. 发生于腺上皮
B. 癌细胞无腺腔形成
C. 癌巢小而少，间质纤维组织多
D. 可弥漫性浸润
E. 分化较好
【参考答案】 E

64. 腮腺多形性腺瘤的特点是
A. 由上皮和肌上皮细胞发生
B. 由腺上皮发生
C. 由肌上皮发生
D. 包膜完整
E. 切除后不易复发
【参考答案】 A

65. 不符合毛细血管瘤特征的是
A. 儿童常见
B. 多为先天性发生
C. 多见于皮肤
D. 成年后可停止发展，甚至可以自行消退
E. 膨胀性生长
【参考答案】 E

66. 不符合横纹肌肉瘤特征的是
A. 多见于婴幼儿和青少年
B. 肿瘤由不同分化阶段的横纹肌母细胞构成
C. 切面呈鱼肉状
D. 恶性度较高，主要发生血道转移
E. 常发生于横纹肌的部位
【参考答案】 E

67. 不符合骨瘤特点的是
A. 良性肿瘤
B. 好发于头面骨及颌骨
C. 由成熟的骨质组成
D. 骨母细胞异型性明显
E. 可引起压迫症状
【参考答案】 D

68. 有关瘤样纤维组织增生的描述，错误的是
A. 是一种良性肿瘤
B. 呈浸润性生长
C. 可复发
D. 不转移
E. 肿瘤无包膜
【参考答案】 A

69. 不符合平滑肌瘤特点的是
A. 好发于子宫、胃肠道
B. 肿瘤有包膜
C. 切面灰白、质韧，呈编织状
D. 不见核分裂像
E. 不转移
【参考答案】 B

70. 有关脂肪肉瘤的描述，错误的是
A. 多由脂肪瘤恶变而来
B. 好发于大腿、腹膜后等部位
C. 多见于 40 岁以上的患者
D. 肿瘤呈结节状或分叶状
E. 常有假包膜
【参考答案】 A

71. 平滑肌肉瘤的诊断依据中，最重要的是
A. 肿瘤细胞丰富
B. 肿瘤粘液变性
C. 核分裂像的多少
D. 细胞的多形性明显
E. 肿瘤出血坏死
【参考答案】 C

72. 女性，50 岁，发现背部肿瘤 5 年，生长缓慢。检查时，肿瘤直径约 5 cm 大小，可活动，境界清楚。手术切除，肿瘤呈淡黄色，分叶状，包膜完整，质地较软。此结节最可能是
A. 纤维瘤
B. 血管瘤
C. 平滑肌瘤
D. 脂肪瘤
E. 滑膜瘤
【参考答案】 D

73. 男性，30 岁，右胫骨上端病理性骨折，局部被囊性肿物破坏。手术后，病理诊断为骨巨细胞瘤。符合此诊断的描述是
A. 良性肿瘤
B. 巨细胞是肿瘤的主要细胞
C. 间质细胞是肿瘤的主要细胞
D. 瘤细胞形成骨组织
E. 瘤细胞形成软骨组织
【参考答案】 C

74. 女性，47 岁，因子宫多发性结节，子宫切除。病理检查，符合平滑肌肉瘤的病变是
A. 肿瘤细胞分化良好
B. 肿瘤细胞密集
C. 肿瘤细胞异型性明显
D. 肿瘤细胞核分裂像多见
E. 肿瘤细胞粘液变性
【参考答案】 D

75. 骨肉瘤的主要诊断依据是
A. 好发于青少年
B. 血道转移
C. 发生于长骨干骺端
D. 恶性肿瘤细胞产生骨组织
E. 发生病理性骨折
【参考答案】 D

76. 葡萄状肉瘤属于
A. 血管肉瘤
B. 脂肪肉瘤
C. 纤维肉瘤
D. 横纹肌肉瘤
E. 纤维肉瘤
【参考答案】 D

77. 不符合软骨肉瘤的描述是
A. 青少年多见
B. 肿瘤呈分叶状
C. 浸润性生长
D. 肿瘤细胞产生软骨基质
E. 可发生出血坏死
【参考答案】 A

78. 不符合恶性纤维组织细胞瘤的描述是
A. 可发生与内脏器官
B. 由原始间叶组织发生
C. 可见泡沫细胞和多核巨细胞
D. 可见异型性平滑肌细胞
E. 恶性度高
【参考答案】 D

79. 纤维肉瘤的主要诊断依据是
A. 发生于深部组织
B. 鱼肉状
C. 异型性明显的纤维母细胞
D. 出血坏死
E. 假包膜形成
【参考答案】 C

80. 混合型血管瘤的组织学特点是
A. 由毛细血管构成
B. 由血窦构成
C. 由小静脉构成
D. 由小动脉构成
E. 由毛细血管和血窦构成
【参考答案】 E

81. 不符合精原细胞瘤的特征的是
A. 恶性
B. 多发于婴儿
C. 起源于原始生殖细胞
D. 由较一致的大圆形细胞组成
E. 间质可见淋巴细胞侵润
【参考答案】 B

82. 不符合皮样囊肿的特征的描述是
A. 属于良性肿瘤
B. 多见于皮肤
C. 囊内充满油脂和毛发
D. 囊壁内被覆鳞状上皮
E. 囊壁内可见皮肤附属器
【参考答案】 B

83. 符合成熟型畸胎瘤的特征的描述是
A. 良性肿瘤
B. 不发生于胸腔
C. 多为实性肿物
D. 不形成甲状腺组织
E. 不形成脑组织
【参考答案】 A

84. 卵巢成熟性畸胎瘤多呈
A. 分叶状
B. 乳头状
C. 弥漫浸润
D. 结节状
E. 囊状
【参考答案】 E

85. 有关畸胎瘤的描述，错误的是
A. 好发于卵巢、睾丸
B. 由两个胚层以上的组织构成
C. 未成熟型可见原始神经组织
D. 多呈囊性，囊内充满油脂、毛发
E. 肿瘤起源于生发上皮
【参考答案】 E

86. 关于皮肤黑痣的描述，错误的是
A. 皮内痣易恶变
B. 来源于黑色素细胞
C. 可恶变为黑色素瘤
D. 溃破、发炎是恶变的象征
E. 痣细胞分泌色素
【参考答案】 A

87. 有关黑色素瘤的描述，错误的是
A. 可由黑色素痣恶变而来
B. 恶性度较高，易发生血道转移
C. 均可见色素颗粒
D. 好发于足底、外阴、肛周的皮肤
E. 瘤细胞核仁清楚、核分裂像多见
【参考答案】 C

88. 女性，22 岁，发现右下腹包块 3 个月，手术发现右卵巢被破坏，被一囊性肿物所取代，囊内充满脂性物质、毛发，囊壁可见牙齿。应诊断为
A. 无性细胞瘤
B. 皮样囊肿
C. 错构瘤
D. 迷离瘤
E. 畸胎瘤
【参考答案】 E

89. 不属于致癌因子的是
A. 硒
B. 苯胺
C. 亚硝胺
D. 二甲基氨基偶氮苯
E. 3,4-苯并芘
【参考答案】 A

90. 与肺癌发生关系密切的是
A. 3,4-苯并芘
B. 黄曲霉毒素
C. 石棉纤维
D. 紫外线
E. 乙萘胺
【参考答案】 A

91. 与膀胱癌发生关系密切的是
A. 3,4-苯并芘
B. 黄曲霉毒素
C. 石棉纤维
D. 紫外线
E. 乙萘胺
【参考答案】 E

92. 与肝癌发生关系密切的是
A. 3,4-苯并芘
B. 黄曲霉毒素
C. 石棉纤维
D. 紫外线
E. 乙萘胺
【参考答案】 B

93. 不属于致癌物质的是
A. 砷
B. 金
C. 铬
D. 镍
E. 镉
【参考答案】 B

94. 不符合亚硝胺致癌特点的描述是
A. 致癌性强
B. 致癌谱广
C. 自然界广泛存在
D. 其形成与亚硝酸盐有关
E. 其形成与二级胺有关
【参考答案】 C

95. 不符合 3,4-苯并芘致癌特点的描述是
A. 致癌性强
B. 致癌谱广
C. 自然界广泛存在
D. 存在于烟草的烟雾中
E. 具有直接致癌作用
【参考答案】 E

96. 不符合化学致癌的描述是
A. 间接致癌物多见
B. 直接致癌物少见
C. 某些致癌物需要其他物质的协同作用
D. 激发剂是致癌物质
E. 促进剂是致癌物质
【参考答案】 E

97. 与病毒无关的肿瘤是
A. 肝癌
B. 鼻咽癌
C. Burkitt 淋巴瘤
D. 子宫颈癌
E. 胃癌
【参考答案】 E

98. 与肝癌关系密切的病毒是
A. HBV
B. HSV
C. EBV
D. HPV
E. HTLV
【参考答案】 A

99. 艾滋病患者常见的恶性肿瘤是
A. 鼻咽癌
B. Kaposi 肉瘤
C. 食管癌
D. 胃癌
E. 乳腺癌
【参考答案】 B

100. 与 HPV 感染关系密切的肿瘤是
A. 鼻咽癌
B. 食管癌
C. 子宫颈癌
D. 胃癌
E. 乳腺癌
【参考答案】 C

101. 与 HCV 感染关系密切的肿瘤是
A. 鼻咽癌
B. Kaposi 肉瘤
C. 食管癌
D. 肝癌
E. 乳腺癌
【参考答案】 D

102. 与 EBV 感染关系密切的肿瘤是
A. 鼻咽癌
B. Kaposi 肉瘤
C. 食管癌
D. 胃癌
E. 乳腺癌
【参考答案】 A

103. 与 HTLV 感染关系密切的肿瘤是
A. 鼻咽癌
B. Kaposi 肉瘤
C. 食管癌
D. 胃癌
E. T 细胞白血病
【参考答案】 E

104. 与 EBV 感染关系密切的肿瘤是
A. Burkitt 淋巴瘤
B. Kaposi 肉瘤
C. 食管癌
D. 胃癌
E. T 细胞白血病
【参考答案】 A

105. 男性，20 岁，轻度腹泻，伴粘液便 4 年。肠镜检查，结肠粘膜可见密布的米粒到黄豆大的息肉。病变符合
A. 结肠腺瘤
B. 结肠癌
C. 家族性腺瘤性息肉病
D. 神经纤维瘤病
E. 家族性大肠癌
【参考答案】 C

106. 女性，5 岁，双眼均患有视网膜母细胞瘤。生殖细胞发生改变的基因是
A. APC 基因
B. WT-1 基因
C. P53 基因
D. NF-1 基因
E. Rb 基因
【参考答案】 E

107. APC 基因突变可引起
A. 神经纤维瘤病
B. 结肠腺瘤性息肉病
C. 视网膜母细胞瘤
D. 肾母细胞瘤
E. 家族性乳腺癌
【参考答案】 B

108. WT-1 基因突变可引起
A. 神经纤维瘤病
B. 结肠腺瘤性息肉病
C. 视网膜母细胞瘤
D. 肾母细胞瘤
E. 家族性乳腺癌
【参考答案】 D

109. BRCA-1 基因突变可引起
A. 神经纤维瘤病
B. 结肠腺瘤性息肉病
C. 视网膜母细胞瘤
D. 肾母细胞瘤
E. 家族性乳腺癌
【参考答案】 E

110. NF-1 基因突变可引起
A. 神经纤维瘤病
B. 结肠腺瘤性息肉病
C. 视网膜母细胞瘤
D. 肾母细胞瘤
E. 家族性乳腺癌
【参考答案】 A

111. 不符合遗传因素在肿瘤发生中的作用的描述是
A. 在遗传性肿瘤中起决定作用
B. 大多数恶性肿瘤的发生是环境与遗传共同作用的结果
C. 着色性干皮病属于遗传性肿瘤
D. 遗传性肿瘤多由肿瘤抑制基因丢失或灭活引起
E. 遗传性肿瘤也可由 DNA 修复基因突变引起
【参考答案】 C

112. 不属于肿瘤易感性遗传的疾病是
A. 着色性干皮病
B. Bloom 综合征
C. Fanconi 综合征
D. 毛细血管扩张性共济失调
E. 视网膜母细胞瘤
【参考答案】 E

113. 与雌激素水平过高关系密切的肿瘤是
A. 肝癌
B. 肺癌
C. 卵巢癌
D. 乳腺癌
E. 子宫颈癌
【参考答案】 D

114. 有关肿瘤免疫的描述，错误的是
A. 体液免疫起主要作用
B. 癌组织内大量淋巴细胞浸润是预后较好的指标
C. 恶性肿瘤可以破坏宿主的免疫功能
D. 免疫功能低下的患者容易发生恶性肿瘤
E. 艾滋病患者恶性肿瘤的发生率升高
【参考答案】 A

115. 与雄激素关系密切的肿瘤是
A. 精原细胞瘤
B. 阴茎癌
C. 前列腺癌
D. 胚胎性癌
E. 内胚窦瘤
【参考答案】 C

116. 不符合肿瘤免疫的描述是
A. 艾滋病患者更易发生恶性肿瘤
B. 免疫抑制治疗可诱发恶性肿瘤
C. Wilms 瘤的发生与免疫系统不健全有关
D. 老年人肿瘤的发生与免疫系统功能下降有关
E. 先天性免疫缺陷病恶性肿瘤的发病率升高
【参考答案】 C

117. 不符合肿瘤抗原的描述是
A. 肿瘤相关抗原既存在于肿瘤细胞，又存在于某些正常细胞
B. 肿瘤胚胎抗原在正常机体有微量存在
C. 肿瘤特异抗原可以用于肿瘤的诊断
D. 肿瘤胚胎抗原在胚胎发育中曾多量出现
E. 肿瘤胚胎抗原可作为肿瘤标记物
【参考答案】 C

118. 不符合肿瘤免疫逃避的描述是
A. 肿瘤细胞有较强的抗原性
B. 肿瘤细胞 MHC 抗原减少
C. 肿瘤患者的免疫系统受到抑制
D. 肿瘤细胞产生免疫抑制因子
E. 极少数癌症患者的肿瘤自行消退与免疫功能增强有关
【参考答案】 A

119. 与营养因素有关的恶性肿瘤有
A. 乳腺癌
B. 子宫颈癌
C. 食管癌
D. 胃癌
E. 大肠癌
【参考答案】 E

120. 在肿瘤免疫当中重要的效应细胞是
A. 中性粒细胞
B. 浆细胞
C. 巨噬细胞
D. 嗜酸粒细胞
E. B 细胞
【参考答案】 C

121. 与皮肤癌发生关系密切的是
A. 3,4-苯并芘
B. 黄曲霉毒素
C. 石棉纤维
D. 紫外线
E. 乙萘胺
【参考答案】 D

122. 与肺间皮瘤发生关系密切的是
A. 3,4-苯并芘
B. 黄曲霉毒素
C. 石棉纤维
D. 紫外线
E. 乙萘胺
【参考答案】 C

123. 可引起白血病的因素是
A. 3,4-苯并芘
B. 黄曲霉毒素
C. 石棉纤维
D. X 线
E. 乙萘胺
【参考答案】 D

124. 着色性干皮病患者容易发生皮肤癌是由于
A. 3,4-苯并芘
B. 黄曲霉毒素
C. 石棉纤维
D. 紫外线引起的 DNA 损伤
E. 乙萘胺
【参考答案】 C

125. 与血吸虫卵慢性刺激有关的癌是
A. 肺癌
B. 胆管上皮癌
C. 膀胱癌
D. 大肠癌
E. 胃癌
【参考答案】 D

126. 不符合电离辐射致癌的描述是
A. 导致染色体断裂
B. 导致染色体异位
C. 引起点突变
D. 肿瘤发生潜伏期短
E. 激活癌基因、灭活肿瘤抑制基因
【参考答案】 D

127. 不符合紫外线照射致癌的描述是
A. 可引起黑色素瘤
B. 可引起鳞状细胞癌
C. 可引起基底细胞癌
D. 可引起蕈样霉菌病
E. 可导致嘧啶二聚体形成
【参考答案】 D

128. 不符合电离辐射致癌的描述是
A. 致癌谱广
B. 与辐射剂量有关
C. 易防护
D. 放射治疗不会引起肿瘤发生
E. 与化学及生物致癌因素有叠加作用
【参考答案】 D

129. 有关抗癌基因与肿瘤关系的描述，错误的是
A. APC 基因——结肠腺瘤性息肉病
B. NF-1 基因——神经纤维瘤病
C. Rb 基因——视网膜母细胞瘤
D. WT-1 基因——肾母细胞瘤
E. P53 基因——肺癌
【参考答案】 E

130. 有关原癌基因的描述，错误的是
A. 正常细胞的固有基因
B. 对细胞的生长起抑制作用
C. 在正常细胞中以非激活的方式存在
D. 环境和遗传因素均可激活原癌基因
E. 其激活可由点突变、染色体异位、插入、扩增引起
【参考答案】 B

131. 有关肿瘤的发生发展的描述，错误的是
A. 长时间的过程
B. 多个因素参与
C. 多基因突变
D. 多阶段逐步演化
E. 恶性肿瘤不可逆转
【参考答案】 E

132. 不符合肿瘤抑制基因的特点有
A. 正常细胞的固有基因
B. 促进细胞的生长
C. Rb 基因和 P53 基因是两种常见的抗癌基因
D. 抗癌基因突变可能引起细胞的肿瘤性转化
E. 肿瘤的发生需要两个等位基因的突变
【参考答案】 B

133. 不符合原癌基因蛋白质产物的描述是
A. 生长因子
B. 生长因子受体
C. 信号转导蛋白质
D. 核调节蛋白质
E. 激素受体
【参考答案】 E

134. 不符合恶性肿瘤发生发展的描述是
A. 肿瘤是一种基因病
B. 单一基因改变即可引起细胞恶性转化
C. 累及癌基因的改变
D. 累及肿瘤抑制基因的改变
E. 累及 DNA 修复基因的改变
【参考答案】 B

135. 不符合恶性肿瘤发生发展的基因改变的描述是
A. 不同阶段均有相应的基因改变
B. 多种基因受累
C. 多种基因的积累效应为主
